html_url;description;organisation;research_group;project;language
https://github.com/Open-Systems-Pharmacology/OSPSuite.TeXReporting;LaTeX Reporting Component for the Open Systems Pharmacology Suite;startup;open_systems_pharmacology;research;C#
https://github.com/Open-Systems-Pharmacology/DCI;Data Component Interface used in the Open-Systems-Pharmacology Suite ;startup;open_systems_pharmacology;research;C++
https://github.com/Open-Systems-Pharmacology/OSPSuite.FuncParser;Function parser for numeric and logic expressions used by the Open Systems Pharmacology Suite;startup;open_systems_pharmacology;research;C++
https://github.com/Open-Systems-Pharmacology/OSPSuite.SimModel;Calculation engine for models built with PK-Sim® or MoBi®;startup;open_systems_pharmacology;research;C++
https://github.com/Open-Systems-Pharmacology/OSPSuite.SimModel.Solver.CVODES.282;ODE solver used by OSPSuite.SimModel. Based on CVODES solver version 2.8.2 (Copyright © 2002-2016, Lawrence Livermore National Security);startup;open_systems_pharmacology;research;C
https://github.com/Open-Systems-Pharmacology/OSPSuite.SimModelSolverBase;Base implementation for all solver used by OSPSuite.SimModel;startup;open_systems_pharmacology;research;C++
https://github.com/Open-Systems-Pharmacology/build-scripts;Collection of rake tasks used during build;startup;open_systems_pharmacology;research;Ruby
https://github.com/Open-Systems-Pharmacology/OSPSuite.Core;Core functionalities of the Open Systems Pharmacology Suite;startup;open_systems_pharmacology;research;C#
https://github.com/Open-Systems-Pharmacology/OSPSuite.Dimensions;List of dimensions supported by the Open Systems Pharmacology Suite;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/OSPSuite.PKParameters;List of PK parameters supported by the Open Systems Pharmacology Suite;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/OSPSuite.Documentation;Documentation files for the Open Systems Pharmacology Suite;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/InstallationValidator;Installation Validation Tool for the Open Systems Pharmacology Suite;startup;open_systems_pharmacology;research;C#
https://github.com/Open-Systems-Pharmacology/Glucose-Insulin-Model;The physiologically-based whole-body model of the glucose-insulin-glucagon regulatory system;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/PAGE2017-Budapest;Training materials for the OSP workshop at PAGE 2017 Budapest;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/ISSX-2017-Cologne;Training materials for the OSP workshop at ISSX 2017, Cologne;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/ISOP-webinar---PK-Sim-MoBi-introduction;ISOP QSP Webinar Series: Bridging and Tackling the Gap between Empirical and Systems Pharmacology Models: Where do we stand? Part 7: PK-Sim/Mobi – Open Systems Pharmacology Suite by Jan Schlender;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/OSP-based-publications-and-content;Publications of all kind based on the Open Systems Pharmacology Suite;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Example_Diclofenac;MoBi example projects for Diclofenac;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Example_ManualModel;MoBi example project for a model created in MoBi from scratch;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Example_Aciclovir;PK-Sim example project for Aciclovir;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Example_Caffeine;PK-Sim example project for Caffeine;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Example_Paracetamol;PK-Sim example project for Paracetamol;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Example_Theophylline;PK-Sim example project for Theophylline;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Reporting-Engine;(Matlab) Reporting-Engine;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Matlab-Toolbox-Core;Collection of Matlab® core functions for the processing of PK-Sim® or MoBi® models ;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/ACoP-2017-FortLauderdale;Training materials for the OSP workshop at ACoP 2017, Fort Lauderdale;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/OSPSuite.SimModel.Schema;Schema definition for xml model created for the OSPSuite.SimModel calculation engine ;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/open-systems-pharmacology.github.io;Open Systems Pharmacology Website (www.open-systems-pharmacology.org);startup;open_systems_pharmacology;no_research;SCSS
https://github.com/Open-Systems-Pharmacology/Pregnancy-Models;Physiologically Based Pharmacokinetic Models for Pregnant Women;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/ICRP-Extended;On going work regarding ICRP Population improvement;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/PAGE-2018-Workshop;PK-Sim® & MoBi® (OSPS®) workshop on integrating PBPK with QSP for in-silico first-in-man PD predictions ;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/PharMetrX-Workshop-March-2018;Training materials for the PharMetrX POSP PBPK workshop, Potsdam March 2018;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Exemplary-Protein-Models;Exemplary Protein PBPK Models ;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/ACoP-2018-Workshop;PK-Sim® & MoBi® (OSPS®) workshop on integrating PBPK with QSP;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/BOSTON-2018-Workshop; PK-Sim® & MoBi® workshop on integrating PBPK with QSP;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/2-Day-BOSTON-Workshop-2018;PK-Sim® & MoBi® (OSPS®) workshop on integrating PBPK with QSP;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Clarithromycin-Model;Whole-body PBPK model of clarithromycin as CYP3A4 and P-gp DDI perpetrator drug ;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Alfentanil-Model;Whole-body PBPK model of alfentanil as CYP3A4 DDI victim drug;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Digoxin-Model;Whole-body PBPK model of digoxin as P-gp DDI victim drug;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/Itraconazole-Model;Whole-body PBPK model of itraconazole as CYP3A4 and P-gp DDI perpetrator drug;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Midazolam-Model;Whole-body PBPK model of midazolam as CYP3A4 DDI victim drug;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Rifampicin-Model;Whole-body PBPK model of rifampicin as CYP3A4 and P-gp DDI perpetrator drug;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Clarithromycin-Midazolam-DDI;Modeling of published clinical Clarithromycin-Midazolam-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Itraconazole-Digoxin-DDI;Modeling of published clinical Itraconazole-Digoxin-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Itraconazole-Midazolam-DDI;Modeling of published clinical Itraconazole-Midazolam-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Alfentanil-DDI;Modeling of published clinical Rifampicin-Alfentanil-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Digoxin-DDI;Modeling of published clinical Rifampicin-Digoxin-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Midazolam-DDI;Modeling of published clinical Rifampicin-Midazolam-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Clarithromycin-Digoxin-DDI;Modeling of published clinical Clarithromycin-Digoxin-DDI studies for model evaluation ;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Hormonal-Contraceptive-Agents-Datasets; Concentration data from studies performed during proprietary drug development  programs by Bayer;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/docs;Open Systems Pharmacology  - Live Documentation;startup;open_systems_pharmacology;no_research;HTML
https://github.com/Open-Systems-Pharmacology/Protein-Abundance-Database;WIP: Protein Abundance Database;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/SGLT2i-hyperfiltration-model;A Quantitative Systems Pharmacology kidney model of diabetes associated renal hyperfiltration and the effects of SGLT inhibitors.;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/QualificationPlan;Creation and processing of a qualification plan;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Gene-Expression-Databases;;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/BERLIN-2019-WORKSHOP;[FULLY BOOKED] SGS Exprimo and the FU Berlin will run a two-days hands-on PK-Sim® & MoBi® workshop on introducing PBPK for human dose projection and drug-drug interaction (DDI) prediction on 21st-22nd Feb 2019 at the Institute of Pharmacy, FU-Berlin, Germany.;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/2-Day-WASHINGTON-Workshop-2019;;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/OSPSuite.SimModel.Solver.CVODES;ODE solver used by OSPSuite.SimModel. Based on CVODES solver (Copyright © 2002-2018, Lawrence Livermore National Security);startup;open_systems_pharmacology;research;C
https://github.com/Open-Systems-Pharmacology/PAGE-2019-PB-QSP-Workshop;PK-Sim® & MoBi® (OSP Suite) workshop on PBPK-basd QSP;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/PAGE-2019-PBPK-Workshop;PK-Sim® & MoBi® (OSP Suite) workshop on PBPK;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/2-Day-Orlando-Workshop-2019;PK-Sim® & MoBi® workshop on PBPK and PBPK-based QSP;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/QualificationRunner;Qualification runner in charge of managing a qualification workflow;startup;open_systems_pharmacology;research;C#
https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Model;Whole-body PBPK model of fluvoxamine as CYP1A2 and CYP3A4 DDI perpetrator drug;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Theophylline-DDI;Modeling of published clinical Fluvoxamine-Theophylline-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Theophylline-DDI;Modeling of published clinical Rifampicin-Theophylline-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Caffeine-DDI;Modeling of published clinical Fluvoxamine-Caffeine-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Midazolam-DDI;Modeling of published clinical Fluvoxamine-Midazolam-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Theophylline-Model;Whole-body PBPK model of theophylline as CYP1A2 DDI victim drug;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Triazolam-Model;Whole-body PBPK model of triazolam;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Alprazolam-Model;Whole-body PBPK model of alprazolam;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/PharMetrX-Workshop-March-2019;Training materials for the PharMetrX POSP PBPK workshop, Potsdam March 2019;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/IFN-alpha;A multiscale QSP model of IFN-alpha induced activation of the JAK/STAT pathway in human liver cells (Kalra et al., 2019);startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/OSPSuite-R;R package for the OSPSuite;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/markdown-joiner;Reporting tool allowing different markdown files to be exported in a cohesive structure (html, md, pdf);startup;open_systems_pharmacology;research;JavaScript
https://github.com/Open-Systems-Pharmacology/Qualification-text-modules;;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Skin-permeation-model;Implementation of Dancik et al (2013) skin permeation model in MoBi;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Qualification-DDI-CYP3A4;Qualification of OSP platform for CYP3A4-mediated DDI;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Model;Whole-body PBPK model of gemfibrozil as CYP2C8 and OATP1B1 DDI perpetrator drug;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Repaglinide-Model;Whole-body PBPK model of repaglinide as CYP2C8, CYP3A4, OATP1B1 and OATP1B3 DDI victim drug;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Pioglitazone-Model;Whole-body PBPK model of pioglitazone as CYP2C8 DDI victim drug;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Repaglinide-DDI;Modeling of published clinical gemfibrozil-repaglinide-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Pioglitazone-DDI;Modeling of published clinical gemfibrozil-pioglitazone-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Itraconazole-Repaglinide-DDI;Modeling of published clinical itraconazole-repaglinide-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Itraconazole-Pioglitazone-DDI;Modeling of published clinical itraconazole-pioglitazone-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Itraconazole-Repaglinide-DDI;Modeling of published clinical gemfibrozil-itraconazole-repaglinide-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Itraconazole-Pioglitazone-DDI;Modeling of published clinical gemfibrozil-itraconazole-pioglitazone-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Repaglinide-DDI;Modeling of published clinical rifampicin-repaglinide-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Pioglitazone-DDI;Modeling of published clinical rifampicin-pioglitazone-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Clarithromycin-Repaglinide-DDI;Modeling of published clinical clarithromycin-repaglinide-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Amikacin-Model;Whole-body PBPK model of Amikacin;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Vancomycin-Model;Whole-body PBPK model of Vancomycin ;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Pregabalin-Model;Whole-body PBPK model of Pregabalin;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Sufentanil-Model;Whole-body PBPK model of Sufentanil;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/ACoP-10-PBPK-Workshop-2019;PBPK Workshop at ACoP 10 2019;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/ACoP-10-Antibody-PBPKPD-Workshop-2019;Workshop on PBPK/PD of ADCs in Tumor Treatment;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Montelukast-Model;Whole-body PBPK model of montelukast;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Paclitaxel-Model;Whole-body PBPK model of paclitaxel;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Pediatric_Qualification_Package_GFR_Ontogeny;Pediatric Qualification Package for GFR Ontogeny ;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Pediatric_Qualification_Package_CYP3A4_Ontogeny;Pediatric Qualification Package for CYP3A4 Ontogeny ;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Pediatric_Qualification_Package_CYP2C8_Ontogeny;Pediatric Qualification Package for CYP2C8 Ontogeny ;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/TLF-Library;TLF Library implementation in R;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/Boston-PBPKPD-Workshop-Sept-2019;PBPK/PD Workshop for Small Molecules and Antibodies with PK-Sim and MoBi;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/OSMOSES;Open-Source MOdeling framework for automated quality control and management of complex life Science systEms modelS (OSMOSES);startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Dapagliflozin-Model;Whole-body PBPK model of dapagliflozin;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Evaluation-plan-template;;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/Raltegravir-Model;Whole-body PBPK model of Raltegravir;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Atazanavir-Raltegravir-DDI;Modeling of published clinical atazanavir-raltegravir-DDI studies ;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Atazanavir-Model;Whole-body PBPK model of atazanavir ;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Mefenamic_acid-Dapagliflozin-DDI;Modeling of published clinical mefenamic acid-dapagliflozin-DDI studies;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/OSPSuite.ReportingEngine;R implementation of the reporting engine ;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/Ondansetron-Model;;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Oxycodone-Model;;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/ASCPT-Satelite-OSPS-Workshops;ASCPT2020 satellite workshops: PK-Sim® & MoBi® hands-on training for PBPK and PBPK-based QSP at University of Houston, College of Pharmacy (www.esqlabs.com/news-events);startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/rClr;R package for accessing .NET;startup;open_systems_pharmacology;research;C#
https://github.com/Open-Systems-Pharmacology/QSPC-Satellite-OSPS-Workshops;QSPC2020 satellite workshops: PK-Sim® & MoBi® hands-on training for PBPK and PBPK-based QSP in Leiden, Netherlands (April 21st and 25th) (www.esqlabs.com/news-events) ;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/OSPS-Workshop-Afrika-Cape-Town-2020;PK-Sim goes Africa! Open source PBPK modelling with the OSPSuite (PK-Sim® & MoBi®) for MIDD at WCOP2020;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Qualification-DDI-UGT;Qualification of UGT-mediated drug-drug interactions;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Mefenamic-acid-Model;Whole-body PBPK model of mefenamic acid;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Database-for-observed-data;Database for published pharmacokinetic data;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/OSPS-PBPK-and-QSP-Workshop-at-PAGE-2020;PAGE 2020 satellite workshops: PK-Sim® & MoBi® hands-on training for PBPK and PBPK-based QSP (www.esqlabs.com/news-events) ;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Idarucizumab-Model;;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Dabigatran-Reversal-Model;;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/tracelib;package to capture and store workflow traceability metadata;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/test-appveyor;Repository for testing purposes only;startup;open_systems_pharmacology;no_research;Ruby
https://github.com/Open-Systems-Pharmacology/OSPSuite.CentOS;;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Itraconazole-Alprazolam-DDI;Modeling of published clinical Itraconazole-Alprazolam-DDI studies for model evaluation ;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Itraconazole-Triazolam-DDI;Modeling of published clinical Itraconazole-Triazolam-DDI studies for model evaluation ;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Erythromycin-Midazolam-DDI;;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Erythromycin-Alprazolam-DDI;;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Erythromycin-Alfentanil-DDI;;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Erythromycin-Triazolam-DDI;;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Clarithromycin-Triazolam-DDI;Modeling of published clinical Clarithromycin-Triazolam-DDI studies for model evaluation ;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Alprazolam-DDI;;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Nicotine-Cotinine-Model;Whole-body PBPK/PD model of nicotine and cotinine;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Alprazolam-DDI;Modeling of published clinical Rifampicin-Alprazolam-DDI studies for model evaluation ;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Triazolam-DDI;Modeling of published clinical Rifampicin-Triazolam-DDI studies for model evaluation ;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Efavirenz-Model;Whole-body PBPK model of efavirenz as CYP3A4 perpetrator drug ;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Efavirenz-Midazolam-DDI;Modeling of published clinical Efavirenz-Midazolam-DDI studies for model evaluation ;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Efavirenz-Alfentanil-DDI;Modeling of published clinical Efavirenz-Alfentanil-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/OSP-Qualification-Reports;Qualification Reports recreated with every new OSP Release;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/OSP-PBPK-Model-Library;Library of released PBPK substance models and evaluation reports;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Erythromycin-Model;;startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Verapamil-Midazolam-DDI;Modeling of published clinical Verapamil-Midazolam-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Verapamil-Model;Verapamil PBPK model (parent only);startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Metformin-Model;Whole-body PBPK model of metformin (OCT2/MATE DDI victim drug);startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Cimetidine-Metformin-DDI;Modeling of published clinical Cimetidine-Metformin-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Cimetidine-Midazolam-DDI;Modeling of published clinical Cimetidine-Midazolam-DDI studies for model evaluation;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Cimetidine-Model;Whole-body PBPK model of cimetidine (OCT2/MATE and CYP3A4 DDI perpetrator drug);startup;open_systems_pharmacology;research;MATLAB
https://github.com/Open-Systems-Pharmacology/Incretins-Model;Physiologically-based Quantitative Systems Pharmacology model of GLP-1 and GIP and DPP4-inhibitor sitagliptin;startup;open_systems_pharmacology;research;R
https://github.com/Open-Systems-Pharmacology/OSPSuite.CPP-Toolbox;;startup;open_systems_pharmacology;no_research;C
https://github.com/Open-Systems-Pharmacology/PharMetrX-Workshop-June-2020;Training materials for the PharMetrX OSP PBPK workshop, online, June 2020;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Buprenorphine-Model;Whole-body PBPK models of buprenorphine for adults, children and preterm neonates;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/CompiledModel-Template;;startup;open_systems_pharmacology;no_research;C++
https://github.com/Open-Systems-Pharmacology/Amoxicillin-Model;Whole-body PBPK model of intravenously administered amoxicillin for adults, pregnant women and postpartum women;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Fentanyl-Model;Physiologically-Based Pharmacokinetic (PBPK) Modeling of Fentanyl in Adults and Pediatric Patients;startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Lung-absorption-model;Pulmonary drug absorption implemented in MoBi (Eriksson et al. 2020);startup;open_systems_pharmacology;research;
https://github.com/Open-Systems-Pharmacology/Roadmap;Roadmap for the Open Systems Pharmacology Platform;startup;open_systems_pharmacology;no_research;
https://github.com/Open-Systems-Pharmacology/Trimethoprim-Model;;startup;open_systems_pharmacology;research;
